,event_id,event_date,event_year,event_month,event_time,event_hour,event_am_pm,landslide_category,landslide_trigger,landslide_size,landslide_setting,fatality_count,injury_count,caused_fatalities,country_name,country_code,admin_division_name,admin_division_population,gazeteer_closest_point,gazeteer_distance,longitude,latitude
10855,10649,2016-09-14 14:54:00,2016,September,14:54:00,14,PM,mudslide,unknown,medium,above_road,0.0,0.0,No,unknown,unknown,unknown,-1.0,unknown,-1.0,-148.836879,63.569297
10856,10526,2017-03-08 20:36:00,2017,March,20:36:00,20,PM,rock_fall,unknown,small,above_road,0.0,0.0,No,unknown,unknown,unknown,-1.0,unknown,-1.0,-120.1368839,47.8529298
10857,11137,2017-04-11 19:04:00,2017,April,19:04:00,19,PM,landslide,rain,small,urban,0.0,0.0,No,unknown,unknown,unknown,-1.0,unknown,-1.0,123.8705795,10.41208679
10858,10738,2016-12-18 14:35:00,2016,December,14:35:00,14,PM,landslide,mining,large,engineered_slope,20.0,0.0,Yes,unknown,unknown,unknown,-1.0,unknown,-1.0,28.251913,-2.969592
10860,11007,2017-07-09 14:21:00,2017,July,14:21:00,14,PM,landslide,downpour,small,above_road,2.0,0.0,Yes,unknown,unknown,unknown,-1.0,unknown,-1.0,127.2486211,36.98563766
10861,10440,2017-01-09 20:35:00,2017,January,20:35:00,20,PM,mudslide,downpour,small,above_road,0.0,0.0,No,unknown,unknown,unknown,-1.0,unknown,-1.0,-117.8235564,34.11892324
10862,10732,2017-01-30 20:07:00,2017,January,20:07:00,20,PM,rock_fall,unknown,small,above_road,0.0,0.0,No,unknown,unknown,unknown,-1.0,unknown,-1.0,76.79310973,11.34376314
10863,10352,2017-03-24 14:10:00,2017,March,14:10:00,14,PM,landslide,no_apparent_trigger,small,above_road,0.0,0.0,No,unknown,unknown,unknown,-1.0,unknown,-1.0,-124.135637,41.71539
10864,10310,2017-03-04 16:52:00,2017,March,16:52:00,16,PM,rock_fall,freeze_thaw,small,above_road,0.0,0.0,No,unknown,unknown,unknown,-1.0,unknown,-1.0,-107.2839602,39.12929489
10865,10997,2017-03-21 14:10:00,2017,March,14:10:00,14,PM,mudslide,downpour,medium,urban,0.0,0.0,No,unknown,unknown,unknown,-1.0,unknown,-1.0,117.184294,29.273895
10866,10923,2017-02-17 20:51:00,2017,February,20:51:00,20,PM,landslide,snowfall_snowmelt,unknown,unknown,1.0,3.0,Yes,unknown,unknown,unknown,-1.0,unknown,-1.0,72.23157,36.269037
10867,11216,2017-04-10 13:34:00,2017,April,13:34:00,13,PM,landslide,rain,small,above_road,0.0,0.0,No,unknown,unknown,unknown,-1.0,unknown,-1.0,-4.273323013,55.89336154
10868,10899,2017-04-07 13:19:00,2017,April,13:19:00,13,PM,landslide,snowfall_snowmelt,large,natural_slope,0.0,0.0,No,unknown,unknown,unknown,-1.0,unknown,-1.0,73.62572743,40.77327756
