,event_id,event_date,event_year,event_month,event_time,event_hour,event_am_pm,landslide_category,landslide_trigger,landslide_size,landslide_setting,fatality_count,injury_count,caused_fatalities,country_name,country_code,admin_division_name,admin_division_population,gazeteer_closest_point,gazeteer_distance,longitude,latitude
11,8253,2014-12-21 08:10:00,2014,December,08:10:00,8,AM,landslide,unknown,unknown,above_road,0.0,0.0,No,United States,US,Oregon,12883.0,Saint Helens,0.87786,-122.8178,45.8647
13,9958,2017-07-03 14:33:00,2017,July,14:33:00,14,PM,landslide,downpour,small,above_road,0.0,0.0,No,unknown,unknown,unknown,-1.0,unknown,-1.0,105.5299971,23.14383048
14,955,2009-01-02 20:30:00,2009,January,20:30:00,20,PM,landslide,downpour,medium,unknown,0.0,1.0,No,Philippines,PH,Bicol,6721.0,Matnog,5.5353,124.0419,12.5655
42,9810,2017-05-19 20:14:00,2017,May,20:14:00,20,PM,mudslide,rain,small,urban,0.0,0.0,No,unknown,unknown,unknown,-1.0,unknown,-1.0,-83.712126,36.770029
53,9962,2017-07-03 14:33:00,2017,July,14:33:00,14,PM,landslide,downpour,small,above_road,0.0,0.0,No,unknown,unknown,unknown,-1.0,unknown,-1.0,104.4530851,22.69040325
56,1382,2010-01-01 00:00:00,2010,January,00:00:00,0,AM,mudslide,downpour,large,unknown,22.0,28.0,Yes,Brazil,BR,Rio de Janeiro,153635.0,Angra dos Reis,2.5888,-44.32249842,-23.01374445
57,8208,2015-02-06 13:18:00,2015,February,13:18:00,13,PM,landslide,unknown,unknown,above_road,0.0,0.0,No,United States,US,Oregon,3742.0,Lafayette,3.64565,-123.1587,45.2335
77,9744,2017-01-06 14:34:00,2017,January,14:34:00,14,PM,rock_fall,unknown,small,above_road,0.0,0.0,No,unknown,unknown,unknown,-1.0,unknown,-1.0,-119.7795082,37.67607624
78,9769,2017-05-30 13:34:00,2017,May,13:34:00,13,PM,landslide,rain,small,above_road,0.0,0.0,No,unknown,unknown,unknown,-1.0,unknown,-1.0,120.9613282,16.77787239
85,9944,2017-07-03 18:04:00,2017,July,18:04:00,18,PM,landslide,rain,medium,above_road,0.0,0.0,No,unknown,unknown,unknown,-1.0,unknown,-1.0,84.54704621,27.83196401
93,9965,2016-09-05 18:04:00,2016,September,18:04:00,18,PM,landslide,rain,large,unknown,0.0,0.0,No,unknown,unknown,unknown,-1.0,unknown,-1.0,94.514651,26.324724
96,9853,2016-08-16 19:22:00,2016,August,19:22:00,19,PM,landslide,rain,large,natural_slope,0.0,0.0,No,unknown,unknown,unknown,-1.0,unknown,-1.0,88.492,27.593
102,9945,2016-09-02 18:04:00,2016,September,18:04:00,18,PM,landslide,unknown,small,unknown,1.0,0.0,Yes,unknown,unknown,unknown,-1.0,unknown,-1.0,84.854632,27.769034
104,9946,2017-07-04 14:33:00,2017,July,14:33:00,14,PM,landslide,rain,medium,natural_slope,1.0,0.0,Yes,unknown,unknown,unknown,-1.0,unknown,-1.0,91.92597729,21.61900923
110,9755,2017-05-30 13:34:00,2017,May,13:34:00,13,PM,rock_fall,rain,small,above_road,0.0,0.0,No,unknown,unknown,unknown,-1.0,unknown,-1.0,-85.97897289,36.27009466
112,9966,2016-09-05 18:04:00,2016,September,18:04:00,18,PM,landslide,rain,large,unknown,0.0,0.0,No,unknown,unknown,unknown,-1.0,unknown,-1.0,94.257523,26.092493
120,9943,2017-06-13 15:17:00,2017,June,15:17:00,15,PM,landslide,continuous_rain,large,urban,33.0,0.0,Yes,unknown,unknown,unknown,-1.0,unknown,-1.0,91.83258101,22.35037081
121,5597,2013-10-09 00:00:00,2013,October,00:00:00,0,AM,landslide,rain,medium,unknown,1.0,1.0,Yes,Austria,AT,Tyrol,8818.0,Kitzbühel,0.33828,12.3966,47.446
122,7056,2015-05-17 00:00:00,2015,May,00:00:00,0,AM,landslide,rain,medium,urban,0.0,0.0,No,Mexico,MX,Baja California,1173.0,La Esperanza [Granjas Familiares],6.46156,-117.0898,32.5196
123,9988,2016-09-10 18:52:00,2016,September,18:52:00,18,PM,landslide,downpour,large,unknown,0.0,0.0,No,unknown,unknown,unknown,-1.0,unknown,-1.0,112.61191,-8.034706
124,9985,2016-09-06 18:52:00,2016,September,18:52:00,18,PM,landslide,rain,large,unknown,4.0,2.0,Yes,unknown,unknown,unknown,-1.0,unknown,-1.0,84.069015,28.145796
125,9987,2017-06-30 16:00:00,2017,June,16:00:00,16,PM,landslide,continuous_rain,medium,natural_slope,0.0,0.0,No,unknown,unknown,unknown,-1.0,unknown,-1.0,106.7121322,-6.522155904
126,9984,2017-07-01 16:00:00,2017,July,16:00:00,16,PM,landslide,downpour,small,above_road,0.0,0.0,No,unknown,unknown,unknown,-1.0,unknown,-1.0,94.24416766,26.1445447
128,9940,2017-07-03 15:17:00,2017,July,15:17:00,15,PM,landslide,continuous_rain,medium,natural_slope,1.0,0.0,Yes,unknown,unknown,unknown,-1.0,unknown,-1.0,91.87202793,26.20450454
129,9967,2017-07-01 14:33:00,2017,July,14:33:00,14,PM,debris_flow,downpour,medium,engineered_slope,0.0,0.0,No,unknown,unknown,unknown,-1.0,unknown,-1.0,-72.34106092,43.65859938
130,9964,2016-09-04 18:04:00,2016,September,18:04:00,18,PM,landslide,dam_embankment_collapse,large,unknown,0.0,0.0,No,unknown,unknown,unknown,-1.0,unknown,-1.0,13.787332,46.726906
131,9941,2017-07-02 15:17:00,2017,July,15:17:00,15,PM,landslide,continuous_rain,small,below_road,0.0,0.0,No,unknown,unknown,unknown,-1.0,unknown,-1.0,92.03513581,22.77997113
132,9969,2017-07-04 16:00:00,2017,July,16:00:00,16,PM,rock_fall,no_apparent_trigger,small,natural_slope,0.0,1.0,No,unknown,unknown,unknown,-1.0,unknown,-1.0,-112.9476039,37.29584217
133,9950,2016-09-02 18:04:00,2016,September,18:04:00,18,PM,landslide,rain,large,unknown,4.0,10.0,Yes,unknown,unknown,unknown,-1.0,unknown,-1.0,87.640957,27.513641
134,9974,2017-07-04 16:00:00,2017,July,16:00:00,16,PM,landslide,continuous_rain,small,above_road,0.0,0.0,No,unknown,unknown,unknown,-1.0,unknown,-1.0,94.12901274,25.4976444
135,9687,2017-06-12 17:43:00,2017,June,17:43:00,17,PM,mudslide,unknown,unknown,unknown,2.0,1.0,Yes,unknown,unknown,unknown,-1.0,unknown,-1.0,-100.3120723,17.85175828
136,9956,2017-07-03 14:33:00,2017,July,14:33:00,14,PM,landslide,downpour,medium,natural_slope,2.0,0.0,Yes,unknown,unknown,unknown,-1.0,unknown,-1.0,105.4244893,23.16100191
137,9963,2016-09-04 04:00:00,2016,September,04:00:00,4,AM,landslide,downpour,large,unknown,0.0,0.0,No,unknown,unknown,unknown,-1.0,unknown,-1.0,85.201673,27.833565
139,9972,2017-07-03 16:00:00,2017,July,16:00:00,16,PM,landslide,continuous_rain,medium,unknown,1.0,0.0,Yes,unknown,unknown,unknown,-1.0,unknown,-1.0,91.92053028,26.22247247
140,9959,2016-09-04 18:04:00,2016,September,18:04:00,18,PM,landslide,rain,medium,unknown,0.0,0.0,No,unknown,unknown,unknown,-1.0,unknown,-1.0,83.498645,28.377188
141,9951,2017-07-03 14:33:00,2017,July,14:33:00,14,PM,landslide,downpour,small,unknown,0.0,0.0,No,unknown,unknown,unknown,-1.0,unknown,-1.0,91.85158907,26.1061808
142,9952,2017-07-03 14:33:00,2017,July,14:33:00,14,PM,landslide,downpour,small,unknown,0.0,0.0,No,unknown,unknown,unknown,-1.0,unknown,-1.0,91.86227824,26.10430759
143,9942,2017-06-13 15:17:00,2017,June,15:17:00,15,PM,landslide,continuous_rain,large,unknown,105.0,0.0,Yes,unknown,unknown,unknown,-1.0,unknown,-1.0,92.22099982,22.74955141
144,9961,2017-07-03 14:33:00,2017,July,14:33:00,14,PM,landslide,downpour,small,above_road,0.0,0.0,No,unknown,unknown,unknown,-1.0,unknown,-1.0,105.1593663,22.77992936
145,9975,2016-09-07 18:04:00,2016,September,18:04:00,18,PM,landslide,rain,large,unknown,11.0,0.0,Yes,unknown,unknown,unknown,-1.0,unknown,-1.0,-90.604924,14.521881
146,9954,2017-06-29 14:33:00,2017,June,14:33:00,14,PM,landslide,no_apparent_trigger,small,natural_slope,0.0,0.0,No,unknown,unknown,unknown,-1.0,unknown,-1.0,-80.00630324,40.24298211
148,9968,2016-09-06 18:04:00,2016,September,18:04:00,18,PM,mudslide,rain,medium,unknown,2.0,0.0,Yes,unknown,unknown,unknown,-1.0,unknown,-1.0,3.351692,6.60222
149,9953,2016-09-02 18:04:00,2016,September,18:04:00,18,PM,landslide,unknown,large,above_road,4.0,5.0,Yes,unknown,unknown,unknown,-1.0,unknown,-1.0,77.109719,31.956546
150,9980,2016-09-08 18:04:00,2016,September,18:04:00,18,PM,landslide,rain,small,unknown,3.0,0.0,Yes,unknown,unknown,unknown,-1.0,unknown,-1.0,71.398496,34.525881
151,9992,2017-07-02 19:39:00,2017,July,19:39:00,19,PM,landslide,rain,small,unknown,0.0,0.0,No,unknown,unknown,unknown,-1.0,unknown,-1.0,85.91050294,27.90362599
152,9998,2017-07-04 19:39:00,2017,July,19:39:00,19,PM,landslide,rain,medium,above_road,0.0,0.0,No,unknown,unknown,unknown,-1.0,unknown,-1.0,94.21263589,27.98531715
153,9983,2017-07-01 16:00:00,2017,July,16:00:00,16,PM,landslide,continuous_rain,small,above_road,0.0,0.0,No,unknown,unknown,unknown,-1.0,unknown,-1.0,94.24222574,26.11613908
154,9996,2017-06-19 19:39:00,2017,June,19:39:00,19,PM,mudslide,downpour,small,above_road,0.0,0.0,No,unknown,unknown,unknown,-1.0,unknown,-1.0,-72.44447441,43.10590179
155,9990,2017-07-01 16:00:00,2017,July,16:00:00,16,PM,landslide,downpour,small,natural_slope,0.0,0.0,No,unknown,unknown,unknown,-1.0,unknown,-1.0,175.2344014,-36.95665535
156,9999,2017-07-05 19:39:00,2017,July,19:39:00,19,PM,landslide,continuous_rain,medium,natural_slope,1.0,1.0,Yes,unknown,unknown,unknown,-1.0,unknown,-1.0,92.17584376,21.42181705
157,9993,2017-07-04 19:39:00,2017,July,19:39:00,19,PM,landslide,rain,small,above_road,0.0,0.0,No,unknown,unknown,unknown,-1.0,unknown,-1.0,94.26296826,27.97875751
158,9979,2016-09-08 18:04:00,2016,September,18:04:00,18,PM,landslide,rain,medium,above_road,0.0,0.0,No,unknown,unknown,unknown,-1.0,unknown,-1.0,123.821113,10.283626
160,9976,2017-07-05 16:00:00,2017,July,16:00:00,16,PM,landslide,continuous_rain,medium,above_road,0.0,0.0,No,unknown,unknown,unknown,-1.0,unknown,-1.0,88.29518925,26.90298048
162,9989,2017-06-28 16:00:00,2017,June,16:00:00,16,PM,landslide,other,large,above_road,0.0,0.0,No,unknown,unknown,unknown,-1.0,unknown,-1.0,92.87641207,23.69461107
163,9978,2017-07-04 16:00:00,2017,July,16:00:00,16,PM,landslide,continuous_rain,small,natural_slope,0.0,0.0,No,unknown,unknown,unknown,-1.0,unknown,-1.0,-61.54264771,10.68399129
164,9986,2017-07-01 16:00:00,2017,July,16:00:00,16,PM,landslide,continuous_rain,medium,urban,0.0,0.0,No,unknown,unknown,unknown,-1.0,unknown,-1.0,106.78629,-6.558993431
166,9977,2017-07-03 18:04:00,2017,July,18:04:00,18,PM,landslide,rain,medium,above_road,0.0,0.0,No,unknown,unknown,unknown,-1.0,unknown,-1.0,167.940244,-44.675943
167,9997,2017-07-05 19:39:00,2017,July,19:39:00,19,PM,landslide,no_apparent_trigger,very_large,natural_slope,0.0,0.0,No,unknown,unknown,unknown,-1.0,unknown,-1.0,-109.4847675,43.21843612
168,9982,2017-07-01 16:00:00,2017,July,16:00:00,16,PM,landslide,downpour,medium,above_road,0.0,0.0,No,unknown,unknown,unknown,-1.0,unknown,-1.0,94.55427723,26.3312531
169,9994,2017-07-06 19:39:00,2017,July,19:39:00,19,PM,landslide,continuous_rain,medium,above_road,0.0,0.0,No,unknown,unknown,unknown,-1.0,unknown,-1.0,88.25902123,27.02149311
170,9863,2016-08-16 12:40:00,2016,August,12:40:00,12,PM,landslide,rain,small,natural_slope,1.0,0.0,Yes,unknown,unknown,unknown,-1.0,unknown,-1.0,83.567989,28.372874
171,9851,2017-06-25 13:10:00,2017,June,13:10:00,13,PM,mudslide,rain,medium,above_road,0.0,0.0,No,unknown,unknown,unknown,-1.0,unknown,-1.0,75.19605556,38.74738889
172,9714,2017-06-13 13:27:00,2017,June,13:27:00,13,PM,landslide,unknown,small,below_road,0.0,0.0,No,unknown,unknown,unknown,-1.0,unknown,-1.0,-2.345003962,52.1104766
173,9871,2016-08-15 12:40:00,2016,August,12:40:00,12,PM,mudslide,continuous_rain,medium,urban,0.0,0.0,No,unknown,unknown,unknown,-1.0,unknown,-1.0,120.595832,16.404676
174,9811,2017-06-19 20:14:00,2017,June,20:14:00,20,PM,mudslide,rain,medium,urban,6.0,1.0,Yes,unknown,unknown,unknown,-1.0,unknown,-1.0,3.381341033,6.622961187
175,9765,2017-06-01 13:34:00,2017,June,13:34:00,13,PM,rock_fall,unknown,small,above_road,0.0,0.0,No,unknown,unknown,unknown,-1.0,unknown,-1.0,-105.4129317,38.48258714
176,9759,2017-05-15 13:34:00,2017,May,13:34:00,13,PM,landslide,unknown,small,above_road,0.0,0.0,No,unknown,unknown,unknown,-1.0,unknown,-1.0,-111.6038025,39.12221676
177,9731,2017-06-05 13:20:00,2017,June,13:20:00,13,PM,landslide,leaking_pipe,small,above_road,0.0,0.0,No,unknown,unknown,unknown,-1.0,unknown,-1.0,18.18030889,42.62244921
178,9800,2017-05-20 20:14:00,2017,May,20:14:00,20,PM,mudslide,rain,medium,above_river,0.0,0.0,No,unknown,unknown,unknown,-1.0,unknown,-1.0,37.559988,-0.58474
180,9779,2017-05-13 14:21:00,2017,May,14:21:00,14,PM,rock_fall,unknown,medium,above_road,0.0,0.0,No,unknown,unknown,unknown,-1.0,unknown,-1.0,-83.02836628,36.50129467
181,9823,2017-05-16 13:15:00,2017,May,13:15:00,13,PM,landslide,rain,small,retaining_wall,0.0,0.0,No,unknown,unknown,unknown,-1.0,unknown,-1.0,-103.7798821,44.3517732
182,9746,2017-06-05 13:34:00,2017,June,13:34:00,13,PM,rock_fall,unknown,medium,above_road,0.0,0.0,No,unknown,unknown,unknown,-1.0,unknown,-1.0,94.29816252,23.19807165
183,9693,2017-05-17 18:48:00,2017,May,18:48:00,18,PM,landslide,unknown,small,natural_slope,0.0,0.0,No,unknown,unknown,unknown,-1.0,unknown,-1.0,-111.678278,40.61990972
184,9735,2017-06-05 13:34:00,2017,June,13:34:00,13,PM,rock_fall,unknown,small,above_road,0.0,0.0,No,unknown,unknown,unknown,-1.0,unknown,-1.0,-81.6651904,38.37512397
186,9865,2016-08-14 12:40:00,2016,August,12:40:00,12,PM,landslide,rain,large,natural_slope,0.0,0.0,No,unknown,unknown,unknown,-1.0,unknown,-1.0,85.01,28.069957
187,9784,2017-05-29 13:34:00,2017,May,13:34:00,13,PM,landslide,rain,small,natural_slope,0.0,0.0,No,unknown,unknown,unknown,-1.0,unknown,-1.0,41.98700247,45.08144863
188,9768,2017-06-01 13:34:00,2017,June,13:34:00,13,PM,landslide,rain,small,below_road,0.0,0.0,No,unknown,unknown,unknown,-1.0,unknown,-1.0,-117.226052,47.67463292
189,9740,2017-06-05 13:34:00,2017,June,13:34:00,13,PM,landslide,rain,small,above_road,0.0,0.0,No,unknown,unknown,unknown,-1.0,unknown,-1.0,75.46743478,34.27703802
190,9757,2017-05-31 13:34:00,2017,May,13:34:00,13,PM,landslide,unknown,small,above_road,0.0,0.0,No,unknown,unknown,unknown,-1.0,unknown,-1.0,-121.6697643,37.74061109
191,9872,2017-06-27 13:20:00,2017,June,13:20:00,13,PM,rock_fall,unknown,medium,above_road,0.0,0.0,No,unknown,unknown,unknown,-1.0,unknown,-1.0,-122.8035956,43.20953132
192,9776,2017-05-27 13:34:00,2017,May,13:34:00,13,PM,landslide,rain,medium,mine,6.0,1.0,Yes,unknown,unknown,unknown,-1.0,unknown,-1.0,80.26097734,16.28332586
193,9816,2017-05-19 20:14:00,2017,May,20:14:00,20,PM,rock_fall,unknown,small,above_road,0.0,0.0,No,unknown,unknown,unknown,-1.0,unknown,-1.0,-105.4935275,38.45256863
194,9878,2017-06-29 13:20:00,2017,June,13:20:00,13,PM,mudslide,rain,medium,natural_slope,0.0,0.0,No,unknown,unknown,unknown,-1.0,unknown,-1.0,72.45209341,41.25565464
195,9807,2017-05-24 20:14:00,2017,May,20:14:00,20,PM,landslide,unknown,small,above_road,0.0,0.0,No,unknown,unknown,unknown,-1.0,unknown,-1.0,-111.5601178,39.13679306
196,9849,2016-08-10 19:22:00,2016,August,19:22:00,19,PM,landslide,continuous_rain,small,above_road,1.0,0.0,Yes,unknown,unknown,unknown,-1.0,unknown,-1.0,80.237218,30.070512
197,9866,2016-08-17 12:40:00,2016,August,12:40:00,12,PM,landslide,construction,small,engineered_slope,0.0,0.0,No,unknown,unknown,unknown,-1.0,unknown,-1.0,-2.48863,53.702353
198,9882,2016-08-19 17:15:00,2016,August,17:15:00,17,PM,mudslide,downpour,very_large,urban,0.0,0.0,No,unknown,unknown,unknown,-1.0,unknown,-1.0,106.801076,-6.311708
199,9877,2017-06-26 13:20:00,2017,June,13:20:00,13,PM,landslide,downpour,medium,above_road,0.0,0.0,No,unknown,unknown,unknown,-1.0,unknown,-1.0,93.20266204,24.21988831
200,9783,2017-05-28 13:34:00,2017,May,13:34:00,13,PM,rock_fall,rain,small,above_road,0.0,0.0,No,unknown,unknown,unknown,-1.0,unknown,-1.0,121.7334279,24.89456743
201,9839,2016-08-09 13:37:00,2016,August,13:37:00,13,PM,landslide,rain,small,above_road,2.0,1.0,Yes,unknown,unknown,unknown,-1.0,unknown,-1.0,86.1804,27.6835
203,9694,2017-05-12 13:28:00,2017,May,13:28:00,13,PM,mudslide,rain,small,unknown,0.0,0.0,No,unknown,unknown,unknown,-1.0,unknown,-1.0,-111.650935,40.48808507
204,9761,2017-06-01 13:34:00,2017,June,13:34:00,13,PM,landslide,rain,small,above_road,0.0,0.0,No,unknown,unknown,unknown,-1.0,unknown,-1.0,76.8694278,11.34165808
205,9774,2017-05-28 13:34:00,2017,May,13:34:00,13,PM,mudslide,snowfall_snowmelt,large,natural_slope,0.0,0.0,No,unknown,unknown,unknown,-1.0,unknown,-1.0,71.27547914,39.19779968
206,9771,2017-05-29 13:34:00,2017,May,13:34:00,13,PM,landslide,continuous_rain,small,below_road,0.0,0.0,No,unknown,unknown,unknown,-1.0,unknown,-1.0,93.61589869,22.65620215
207,9814,2017-05-20 20:14:00,2017,May,20:14:00,20,PM,landslide,other,medium,urban,0.0,0.0,No,unknown,unknown,unknown,-1.0,unknown,-1.0,43.39854621,41.83695379
208,9835,2017-06-21 18:51:00,2017,June,18:51:00,18,PM,landslide,rain,small,above_road,0.0,0.0,No,unknown,unknown,unknown,-1.0,unknown,-1.0,75.37123,32.62803
209,9846,2017-06-24 13:10:00,2017,June,13:10:00,13,PM,landslide,rain,medium,above_road,0.0,0.0,No,unknown,unknown,unknown,-1.0,unknown,-1.0,98.92090376,29.71492436
210,9758,2017-05-29 13:34:00,2017,May,13:34:00,13,PM,landslide,unknown,small,above_road,0.0,0.0,No,unknown,unknown,unknown,-1.0,unknown,-1.0,-116.6803679,46.59738913
212,9702,2017-06-13 18:48:00,2017,June,18:48:00,18,PM,landslide,downpour,large,unknown,6.0,0.0,Yes,unknown,unknown,unknown,-1.0,unknown,-1.0,92.2676503,21.87861504
213,9850,2016-08-13 19:22:00,2016,August,19:22:00,19,PM,landslide,continuous_rain,medium,above_road,1.0,22.0,Yes,unknown,unknown,unknown,-1.0,unknown,-1.0,116.732231,24.725938
214,9876,2017-06-27 13:20:00,2017,June,13:20:00,13,PM,landslide,downpour,medium,above_road,0.0,0.0,No,unknown,unknown,unknown,-1.0,unknown,-1.0,93.18182448,24.30415689
215,9802,2017-05-20 20:14:00,2017,May,20:14:00,20,PM,landslide,unknown,medium,above_road,0.0,0.0,No,unknown,unknown,unknown,-1.0,unknown,-1.0,79.56163208,30.56504675
216,9859,2016-08-15 19:22:00,2016,August,19:22:00,19,PM,landslide,rain,small,above_road,0.0,0.0,No,unknown,unknown,unknown,-1.0,unknown,-1.0,78.412784,31.581485
217,9869,2016-08-16 12:40:00,2016,August,12:40:00,12,PM,landslide,other,small,unknown,1.0,0.0,Yes,unknown,unknown,unknown,-1.0,unknown,-1.0,95.399897,26.88161
219,9795,2017-05-24 20:14:00,2017,May,20:14:00,20,PM,landslide,mining,medium,mine,4.0,15.0,Yes,unknown,unknown,unknown,-1.0,unknown,-1.0,67.458172,30.02715
221,9805,2017-05-22 20:14:00,2017,May,20:14:00,20,PM,rock_fall,unknown,small,above_road,0.0,0.0,No,unknown,unknown,unknown,-1.0,unknown,-1.0,-80.960781,37.335787
222,9689,2017-06-19 13:15:00,2017,June,13:15:00,13,PM,rock_fall,rain,small,above_road,0.0,0.0,No,unknown,unknown,unknown,-1.0,unknown,-1.0,18.36915952,-34.06995509
223,9727,2017-06-12 13:27:00,2017,June,13:27:00,13,PM,landslide,rain,small,above_road,0.0,0.0,No,unknown,unknown,unknown,-1.0,unknown,-1.0,74.66018578,13.90074546
225,9874,2016-08-18 12:40:00,2016,August,12:40:00,12,PM,mudslide,rain,medium,urban,0.0,0.0,No,unknown,unknown,unknown,-1.0,unknown,-1.0,70.56256,39.978954
226,9841,2017-06-29 13:37:00,2017,June,13:37:00,13,PM,landslide,rain,medium,unknown,0.0,0.0,No,unknown,unknown,unknown,-1.0,unknown,-1.0,80.630002,29.60012
227,9690,2017-06-12 18:03:00,2017,June,18:03:00,18,PM,rock_fall,unknown,medium,above_road,0.0,0.0,No,unknown,unknown,unknown,-1.0,unknown,-1.0,-119.710017,37.72438031
228,9728,2017-06-13 13:27:00,2017,June,13:27:00,13,PM,landslide,rain,medium,above_road,0.0,0.0,No,unknown,unknown,unknown,-1.0,unknown,-1.0,120.5927163,0.744821843
229,9804,2017-05-21 20:14:00,2017,May,20:14:00,20,PM,rock_fall,unknown,small,above_road,0.0,0.0,No,unknown,unknown,unknown,-1.0,unknown,-1.0,-105.3475523,40.43368578
230,9711,2017-06-08 13:27:00,2017,June,13:27:00,13,PM,landslide,rain,small,above_road,0.0,0.0,No,unknown,unknown,unknown,-1.0,unknown,-1.0,-120.3239812,38.76361817
231,9793,2017-05-24 20:14:00,2017,May,20:14:00,20,PM,landslide,continuous_rain,medium,above_road,0.0,0.0,No,unknown,unknown,unknown,-1.0,unknown,-1.0,123.2109112,9.309786719
232,9760,2017-05-28 13:34:00,2017,May,13:34:00,13,PM,landslide,rain,medium,natural_slope,5.0,0.0,Yes,unknown,unknown,unknown,-1.0,unknown,-1.0,118.8014459,9.94928114
233,9710,2017-06-09 13:27:00,2017,June,13:27:00,13,PM,mudslide,rain,small,above_road,0.0,0.0,No,unknown,unknown,unknown,-1.0,unknown,-1.0,-119.1365358,53.98572214
234,9777,2017-05-28 13:34:00,2017,May,13:34:00,13,PM,landslide,unknown,small,above_road,0.0,0.0,No,unknown,unknown,unknown,-1.0,unknown,-1.0,-122.5511059,47.25158303
235,9733,2017-06-03 13:20:00,2017,June,13:20:00,13,PM,landslide,continuous_rain,medium,natural_slope,3.0,1.0,Yes,unknown,unknown,unknown,-1.0,unknown,-1.0,91.8949662,23.86469956
236,9801,2017-05-23 20:14:00,2017,May,20:14:00,20,PM,mudslide,rain,medium,natural_slope,0.0,5.0,No,unknown,unknown,unknown,-1.0,unknown,-1.0,110.7318885,27.63630585
237,9706,2017-06-06 13:27:00,2017,June,13:27:00,13,PM,landslide,rain,small,natural_slope,1.0,1.0,Yes,unknown,unknown,unknown,-1.0,unknown,-1.0,79.31958144,30.33597362
238,9842,2016-08-09 13:37:00,2016,August,13:37:00,13,PM,landslide,flooding,large,natural_slope,0.0,0.0,No,unknown,unknown,unknown,-1.0,unknown,-1.0,82.2896,29.48
239,9778,2017-05-29 13:34:00,2017,May,13:34:00,13,PM,rock_fall,unknown,small,above_road,0.0,0.0,No,unknown,unknown,unknown,-1.0,unknown,-1.0,-82.46374308,37.54560113
240,9864,2016-08-16 12:40:00,2016,August,12:40:00,12,PM,landslide,rain,medium,above_road,0.0,0.0,No,unknown,unknown,unknown,-1.0,unknown,-1.0,79.451264,29.350849
241,9881,2017-06-30 13:20:00,2017,June,13:20:00,13,PM,landslide,downpour,small,above_road,0.0,0.0,No,unknown,unknown,unknown,-1.0,unknown,-1.0,103.0563058,26.74386788
242,9719,2017-06-11 13:27:00,2017,June,13:27:00,13,PM,landslide,rain,medium,above_road,3.0,7.0,Yes,unknown,unknown,unknown,-1.0,unknown,-1.0,74.41606625,14.42827957
243,9709,2017-06-12 13:27:00,2017,June,13:27:00,13,PM,landslide,rain,small,above_road,0.0,0.0,No,unknown,unknown,unknown,-1.0,unknown,-1.0,74.6246332,13.87803507
244,9767,2017-06-02 04:00:00,2017,June,04:00:00,4,AM,landslide,unknown,small,above_road,0.0,0.0,No,unknown,unknown,unknown,-1.0,unknown,-1.0,31.37246273,30.0283327
245,9831,2017-06-21 13:15:00,2017,June,13:15:00,13,PM,landslide,unknown,small,natural_slope,0.0,0.0,No,unknown,unknown,unknown,-1.0,unknown,-1.0,-113.9595385,46.29169767
246,9741,2017-06-05 13:34:00,2017,June,13:34:00,13,PM,landslide,rain,medium,urban,1.0,2.0,Yes,unknown,unknown,unknown,-1.0,unknown,-1.0,88.2667225,26.9653186
247,9826,2017-06-21 13:15:00,2017,June,13:15:00,13,PM,landslide,rain,small,natural_slope,0.0,0.0,No,unknown,unknown,unknown,-1.0,unknown,-1.0,74.93828041,33.01739981
249,9827,2017-06-18 13:15:00,2017,June,13:15:00,13,PM,landslide,downpour,small,natural_slope,0.0,0.0,No,unknown,unknown,unknown,-1.0,unknown,-1.0,-80.35294788,44.51447151
250,9688,2016-10-31 14:24:00,2016,October,14:24:00,14,PM,mudslide,leaking_pipe,small,above_road,0.0,0.0,No,unknown,unknown,unknown,-1.0,unknown,-1.0,30.280797,-29.542639
251,9847,2016-08-11 19:22:00,2016,August,19:22:00,19,PM,landslide,flooding,small,above_road,0.0,0.0,No,unknown,unknown,unknown,-1.0,unknown,-1.0,-92.2696,44.451126
252,9734,2017-05-20 13:34:00,2017,May,13:34:00,13,PM,landslide,rain,very_large,above_road,0.0,0.0,No,unknown,unknown,unknown,-1.0,unknown,-1.0,-121.4323838,35.86562803
253,8002,2016-01-23 14:31:00,2016,January,14:31:00,14,PM,landslide,unknown,unknown,above_road,0.0,0.0,No,United States,US,Oregon,2344.0,Kalama,2.91727,-122.877,45.9951
255,9862,2016-08-16 12:40:00,2016,August,12:40:00,12,PM,mudslide,rain,large,urban,0.0,0.0,No,unknown,unknown,unknown,-1.0,unknown,-1.0,78.301945,42.683128
256,9852,2016-08-09 19:22:00,2016,August,19:22:00,19,PM,landslide,downpour,small,above_road,0.0,1.0,No,unknown,unknown,unknown,-1.0,unknown,-1.0,76.932771,31.70779
257,9815,2017-05-19 20:14:00,2017,May,20:14:00,20,PM,mudslide,rain,small,above_road,0.0,0.0,No,unknown,unknown,unknown,-1.0,unknown,-1.0,-118.145399,48.51199102
258,9836,2017-06-21 18:51:00,2017,June,18:51:00,18,PM,rock_fall,rain,small,above_road,0.0,0.0,No,unknown,unknown,unknown,-1.0,unknown,-1.0,75.12206351,32.94818322
259,9736,2017-01-03 14:34:00,2017,January,14:34:00,14,PM,rock_fall,rain,small,above_river,0.0,1.0,No,unknown,unknown,unknown,-1.0,unknown,-1.0,-156.0424592,20.66353189
260,9806,2017-05-19 20:14:00,2017,May,20:14:00,20,PM,rock_fall,rain,medium,above_road,0.0,0.0,No,unknown,unknown,unknown,-1.0,unknown,-1.0,-108.1852766,43.51364004
